Nama Kapal Pesiar,Negara Asal,Tanggal Keberangkatan,Pelabuhan Tujuan,Tanggal Kedatangan,Rute Kapal Pesiar,Jml Penumpang WNA,Jml Penumpang WNI,Jumlah Penumpang,Jml Crew WNA,Jml Crew WNI,Jumlah Crew
DIAMOND PRINCESS,Singapura,29 Desember 2018,Benoa,01 Januari 2019,Singapura - Benoa,"2,865",5,"2,870",993,71,"1,064"
ASTOR,Australia,15 Januari 2019,Benoa,19 Januari 2019,Australia - Benoa,456,2,458,228,60,288
EUROPA 2,Malaysia,15 Januari 2019,Benoa,19 Januari 2019,Malaysia - Benoa,450,2,452,343,26,369
AIDA VITA,Darwin,09 Februari 2019,Benoa,12 Februari 2019,Darwin - Benoa,"1,161",2,"1,163",362,32,394
SAPPHIRE PRINCESS,Singapura,28 Februari 2019,Benoa,03 Maret 2019,Singapura - Benoa,"2,687",5,"2,692","1,019",59,"1,078"
PASIFIC JEWEL,Australia,01 Maret 2019,Benoa,05 Maret 2019,Australia - Benoa,"1,606",4,"1,610",642,66,708
SILVER MUSE,Australia,05 Maret 2019,Benoa,09 Maret 2019,Australia - Benoa,501,2,503,388,18,406
QUEEN VICTORIA,Australia,07 Maret 2019,Benoa,11 Maret 2019,Australia - Benoa,"1,847",4,"1,851",957,2,959
PANORAMA II,Vietnam,24 Mei 2019,Benoa,30 Mei 2019,Vietnam - Benoa,0,0,0,8,9,17
SUN PRINCESS,Vietnam,30 September 2019,Benoa,05 Oktober 2019,Vietnam - Benoa,"1,968",7,"1,975",781,73,854
SUN PRINCESS,Thailand,18 November 2019,Benoa,23 November 2019,Thailand - Benoa,"1,957",4,"1,961",792,69,861
CARNIVAL SPLENDOR,Singapura,24 November 2019,Benoa,28 November 2019,Singapura - Benoa,"3,022",9,"3,031",913,297,"1,210"
SAPPHIRE PRINCESS,Thailand ,09 Desember 2019,Benoa,14 Desember 2019,Thailand - Benoa,"2,778",6,"2,784","1,019",59,"1,078"
SAPPHIRE PRINCESS,Singapura,27 Desember 2019,Benoa,31 Desember 2019,Singapura - Benoa,"2,895",12,"2,907","1,010",62,"1,072"
GENTING DREAM,Singapura,12 Januari 2019,Tanjung Perak,15 Januari 2019,Singapura - Benoa,"2,481",64,"2,545","1,677",275,"1,952"
GENTING DREAM,Singapura,16 Maret 2019,Tanjung Perak,19 Maret 2019,Singapura - Benoa,"2,936",88,"3,024","1,599",248,"1,847"
GENTING DREAM,Singapura,11 Mei 2019,Tanjung Perak,14 Mei 2019,Singapura - Benoa,"2,639",36,"2,675","1,473",265,"1,738"
GENTING DREAM,Singapura,27 Juli 2019,Tanjung Perak,30 Juli 2019,Singapura - Benoa,"3,022",46,"3,068","1,483",265,"1,748"
GENTING DREAM,Singapura,24 Agustus 2019,Tanjung Perak,27 Agustus 2019,Singapura - Benoa,"2,018",22,"2,040","1,504",265,"1,769"
STAR CLIPER,Singapura,10 Juni 2019,Tanjung Priok,13 Juni 2019,Singapura - Pulau Pramuka,74,0,74,45,28,73
OCEAN DREAM,Filipina,28 Desember 2019,Benoa,03 Januari 2020,Filipina - Benoa,"1,032",3,"1,035",208,206,414
VASCO DA GAMA,Australia,16 Januari 2020,Benoa,19 Januari 2020,Australia,952,3,955,295,137,432
PASIFIC EXPLORER,Dili Timor Leste,04 Februari 2020,Benoa,07 Februari 2020,Dili Timor Leste,"1,902",6,"1,908",866,81,947
VASCO DA GAMA,Australia,15 Februari 2020,Benoa,19 Februari 2020,Australia - Benoa,945,3,948,381,162,543
RADIANCE OF THE SEAS,Australia,16 Februari 2020,Benoa,20 Februari 2020,Australia - Benoa,"2,042",8,"2,050",690,169,859
ARTANIA,Singapura,21 Februari 2020,Benoa,25 Februari 2020,Singapura - Benoa,766,3,769,460,74,534
COLUMBUS,Australia,05 Maret 2020,Benoa,09 Maret 2020,Australia - Benoa,"1,025",3,"1,028",476,146,622
PANORAMA II,Thailand,13 Maret 2020,Benoa,19 Maret 2020,Thailand - Benoa,0,0,0,9,5,14
CARNIVAL,Australia,27 April 2020,Tanjung Priok,01 Mei 2020,Australia - Singapura,0,0,0,0,375,375
AMSTERDAM,Malaysia,02 Mei 2020,Tanjung Priok,06 Mei 2020,Malaysia - Filipina,0,0,0,0,172,172
WIND SPIRIT,Malaysia,02 Mei 2020,Tanjung Priok,06 Mei 2020,Malaysia - Singapura,0,0,0,0,44,44
QUANTUM OF THE SEAS,Cina,30 April 2020,Tanjung Priok,08 Mei 2020,Cina - Singapura,0,0,0,0,93,93
VIKING ORION,Singapura,08 Mei 2020,Tanjung Priok,11 Mei 2020,Singapura - Bali,0,0,0,0,42,42
NIEUW AMSTERDAM,South Africa,07 Mei 2020,Tanjung Priok,31 Mei 2020,South Africa - Singapura,0,0,0,0,418,418
CARNIVAL SPLENDOR,Filipina,22 Mei 2020,Tanjung Priok,31 Mei 2020,Filipina - Singapura,0,0,0,0,400,400
VOLENDAM,South Africa,10 Mei 2020,Tanjung Priok,03 Juni 2020,South Africa - Singapura,0,0,0,0,194,194
